Sample;Site;Visit;Traffic;Roadverge;Verge.width;Date;Time;Temp;Weather;Wind_speed;Wind_direction;Side.road;Species;Caste;Behaviour;N;E;
1;Rimbo;1;939;SP;5,19;2020-05-05;11:50;13;Cloudy;3(9);NO;S;B. hypnorum;queen;passing;6624717;693804;
2;Rimbo;1;939;SP;5,19;2020-05-05;11:50;13;Cloudy;3(9);NO;N;B. pascuorum;queen;foraging;6624668;693681;
3;Rimbo;1;939;SP;5,19;2020-05-05;11:50;13;Cloudy;3(9);NO;N;B. pascuorum;queen;foraging;6624668;693681;
4;Rimbo;1;939;SP;5,19;2020-05-05;11:50;13;Cloudy;3(9);NO;N;B. pascuorum;queen;foraging;6624668;693681;
5;Rimbo;1;939;SP;5,19;2020-05-05;11:50;13;Cloudy;3(9);NO;N;B. pascuorum;queen;foraging;6624668;693681;
6;Gottröra;1;3718;SP;4,4;2020-05-05;14:30;14;Cloudy;3(8);NO;S;B. lapidarius;queen;foraging;6626749;676939;
7;Gottröra;1;3718;SP;4,4;2020-05-05;14:30;14;Cloudy;3(8);NO;S;B. terrestris;queen;passing;6626808;676762;
8;Gottröra;1;3718;SP;4,4;2020-05-05;14:30;14;Cloudy;3(8);NO;S;B. terrestris;queen;foraging;6626872;676143;
9;Gottröra;1;3718;SP;4,4;2020-05-05;14:30;14;Cloudy;3(8);NO;N;B. terrestris;queen;dead;6626903;676025;
10;Gottröra;1;3718;SP;4,4;2020-05-05;14:30;14;Cloudy;3(8);NO;N;B. terrestris;queen;dead;6626885;676137;
11;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;E;B. terrestris;queen;nesting;6618075;668086;
12;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;E;unknown;queen;passing;6618075;668086;
13;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;W;B. terrestris;queen;foraging;6618102;668061;
14;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;W;B. terrestris;queen;foraging;6618102;668061;
15;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;W;B. terrestris;queen;passing;6617725;668130;
16;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;E;B. pratorum;queen;nesting;6617403;667846;
17;Arlanda;1;829;SR;5,41;2020-05-05;16:30;14;Almost clear;2(6);NO;E;B. terrestris;queen;nesting;6617413;667860;
18;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;W;B. terrestris;queen;nesting;6595232;614426;
19;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;W;B. terrestris?;queen;nesting;6594998;614310;
20;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;W;B. terrestris;queen;nesting;6594834;614256;
21;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;B. terrestris;queen;dead;6595129;614395;
22;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;unknown;?;dead;6595325;614463;
23;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;B. terrestris;queen;dead;6595337;614463;
24;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;B. terrestris;queen;dead;6595421;614463;
25;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;B. terrestris;queen;dead;6595434;614460;
26;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;B. terrestris;queen;dead;6595468;614455;
27;Aspön;1;5675;SR;5,38;2020-05-06;11:00;13;Cloudy;4(9);V;E;B. lapidarius;queen;foraging;6595496;614447;
28;Tosterön;1;5764;SP;4,07;2020-05-06;13:40;15;Cloudy;3(8);NV;W;B. terrestris;queen;dead;6589101;614914;
29;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;E;B. terrestris;queen;dead;6584137;609189;
30;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;W;B. terrestris;queen;nesting;6584137;609189;
31;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;E;B. terrestris?;queen;passing;6584249;609158;
32;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;E;B. soroeensis;queen;nesting;6584867;609198;
33;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;E;B. terrestris;queen;nesting;6584867;609198;
34;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;W;B. soroeensis;queen;nesting;6584402;609176;
35;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;W;B. terrestris;queen;nesting;6584373;609179;
36;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;W;B. terrestris;queen;nesting;6584373;609179;
37;Strängnäs;1;372;SP;4,43;2020-05-06;14:55;17;Sunny;4(7);NV;W;unknown;queen;nesting;6584027;609213;
38;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;N;B. terrestris;queen;dead;6609874;619149;
39;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;N;B. lucorum coll.;queen;dead;6610177;618984;
40;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;N;unknown;queen;nesting;6610217;618969;
41;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;S;B. terrestris;queen;nesting;6610359;618885;
42;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;S;B. lucorum coll.;queen;dead;6610162;618981;
43;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;S;B. terrestris;queen;nesting;6609983;619058;
44;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;S;B. sylvarum;queen;foraging;6609983;619058;
45;Enköping;1;841;SP;4,29;2020-05-07;11:10;13;Sunny;2(7);NV;S;B. sylvarum;queen;foraging;6609767;619209;
46;Vänge;1;562;SP;4,15;2020-05-07;13:40;14;Overcast;3(8);NV;E;B. soroeensis;queen;nesting;6636590;635471;
47;Vänge;1;562;SP;4,15;2020-05-07;13:40;14;Overcast;3(8);NV;W;B. pascuorum;queen;foraging;6636782;635562;
48;Vänge;1;562;SP;4,15;2020-05-07;13:40;14;Overcast;3(8);NV;W;B. pascuorum;queen;foraging;6636782;635562;
49;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;S;B. pascuorum;queen;foraging;6614920;647970;
50;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;S;unknown;queen;dead;6614980;648284;
51;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;S;B. terrestris;queen;nesting;6615087;648482;
52;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;N;B. lapidarius;queen;nesting;6615248;648699;
53;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;N;B. lucorum coll.;queen;nesting;6615182;648596;
54;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;N;B. lucorum;queen;dead;6615119;648521;
55;Sigtuna;1;6356;SR;5,231;2020-05-07;16:10;15;Sunny;3(7);NV;N;B. lucorum coll.;queen;nesting;6614933;647993;
56;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;E;B. cryptarum;queen;passing;6712944;650387;
57;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. lucorum;queen;nesting;6713276;650341;
58;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. pascuorum;queen;foraging;;;
59;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. lucorum;queen;nesting;;;
60;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. lucorum;queen;nesting;6713233;650342;
61;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. cryptarum;queen;nesting;6713131;650342;
62;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. lucorum coll.;queen;dead;6712932;650389;
63;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. terrestris;queen;foraging;6712540;650504;
64;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;W;B. soroeensis;queen;foraging;6712431;650520;
65;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;E;B. lucorum coll.;queen;dead;6712773;650435;
66;Skärplinge;1;570;SR;3,8;2020-05-08;10:15;14;Overcast;5(13);S;E;B. sylvarum;?;foraging;6712785;650438;
67;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;N;B. terrestris;queen;dead;6653519;639351;*was actually blowing a lot
68;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;N;B. lucorum coll.;queen;dead;6653554;639263;
69;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;N;B. lucorum;queen;fake dead;6653732;638959;*note
70;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;N;B. terrestris;queen;dead;6653784;638871;
71;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;N;B. terrestris;queen;nesting;6653795;638852;
72;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;dead;6653864;638451;
73;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. terrestris;queen;nesting;6653842;638626;
74;Björklinge;1;247;SP;2,88;2020-05-08;13:30;14;Cloudy;4(12);SV;S;B. hypnorum;queen;dead;6653837;638706;
