Traffic;fit;Quality;ymin;ymax
100;20,07437939;SP;16,28751234;23,86124644
174,6835443;19,62915431;SP;15,92102628;23,33728235
249,3670886;19,07398152;SP;15,46364688;22,68431616
324,0506329;18,41949532;SP;14,92418215;21,9148085
398,7341772;17,67633004;SP;14,3114401;21,04121998
473,4177215;16,85511998;SP;13,63422873;20,07601124
548,1012658;15,96649947;SP;12,90135604;19,0316429
622,7848101;15,02110281;SP;12,12163005;17,92057557
697,4683544;14,02956432;SP;11,30385876;16,75526989
772,1518987;13,00251832;SP;10,45685017;15,54818648
846,835443;11,95059912;SP;9,589412289;14,31178595
921,5189873;10,88444103;SP;8,710353128;13,05852894
996,2025316;9,814678378;SP;7,82848069;11,80087607
1070,886076;8,751945465;SP;6,952602981;10,55128795
1145,56962;7,706876612;SP;6,091528008;9,322225216
1220,253165;6,690106132;SP;5,254063775;8,126148489
1294,936709;5,71226834;SP;4,449018289;6,975518391
1369,620253;4,783997551;SP;3,685199556;5,882795546
1444,303797;3,91592808;SP;2,971415583;4,860440578
1518,987342;3,118694241;SP;2,316474374;3,920914108
1593,670886;2,402930349;SP;1,729183936;3,076676761
1668,35443;1,779270718;SP;1,218352276;2,340189161
1743,037975;1,258349664;SP;0,792787398;1,723911929
1817,721519;0,8508015;SP;0,46129731;1,24030569
1892,405063;0,567260542;SP;0,232690016;0,901831067
1967,088608;0,418361103;SP;0,115773524;0,720948683
2041,772152;0,390085645;SP;0,099358596;0,680812693
2116,455696;0,371465793;SP;0,093364951;0,649566635
2191,139241;0,348383777;SP;0,085934956;0,610832598
2265,822785;0,321708467;SP;0,077348295;0,566068638
2340,506329;0,292308732;SP;0,067884656;0,516732809
2415,189873;0,261053444;SP;0,057823721;0,464283166
2489,873418;0,228811472;SP;0,047445178;0,410177766
2564,556962;0,196451688;SP;0,037028712;0,355874664
2639,240506;0,164842961;SP;0,026854007;0,302831914
2713,924051;0,134854162;SP;0,01720075;0,252507573
2788,607595;0,10735416;SP;0,008348626;0,206359695
2863,291139;0,083211828;SP;0,00057732;0,165846336
2937,974684;0,063296034;SP;-0,005833483;0,132425552
3012,658228;0,048413226;SP;-0,010621233;0,107447686
3087,341772;0,036431771;SP;-0,014343632;0,087207174
3162,025316;0,025883962;SP;-0,017415686;0,069183611
3236,708861;0,01669207;SP;-0,01987776;0,0532619
3311,392405;0,008778363;SP;-0,021770219;0,039326946
3386,075949;0,002065113;SP;-0,023133427;0,027263653
3460,759494;-0,003525411;SP;-0,024007749;0,016956927
3535,443038;-0,00807094;SP;-0,024433551;0,00829167
3610,126582;-0,011649204;SP;-0,024451197;0,001152789
3684,810127;-0,014337932;SP;-0,024101052;-0,004574813
3759,493671;-0,016214856;SP;-0,02342348;-0,009006231
3834,177215;-0,017357704;SP;-0,022458847;-0,012256562
3908,860759;-0,017844208;SP;-0,021247518;-0,014440899
3983,544304;-0,017752098;SP;-0,019829857;-0,015674339
4058,227848;-0,017159103;SP;-0,018246229;-0,016071978
4132,911392;-0,016142955;SP;-0,016536999;-0,01574891
4207,594937;-0,014781382;SP;-0,014742532;-0,014820232
4282,278481;-0,013152116;SP;-0,012903193;-0,013401039
4356,962025;-0,011332887;SP;-0,011059346;-0,011606427
4431,64557;-0,009401424;SP;-0,009251357;-0,009551491
4506,329114;-0,007435458;SP;-0,007519591;-0,007351326
4581,012658;-0,00551272;SP;-0,005904411;-0,005121028
4655,696203;-0,003710939;SP;-0,004446184;-0,002975694
4730,379747;-0,002107845;SP;-0,003185273;-0,001030417
4805,063291;-0,000781169;SP;-0,002162045;0,000599706
4879,746835;0,000191358;SP;-0,001416863;0,00179958
4954,43038;0,000732008;SP;-0,000990092;0,002454108
5029,113924;0,000805254;SP;-0,000891643;0,00250215
5103,797468;0,000768804;SP;-0,000853734;0,002391342
5178,481013;0,000722902;SP;-0,000805997;0,002251802
5253,164557;0,000669332;SP;-0,000750283;0,002088947
5327,848101;0,000609873;SP;-0,000688446;0,001908192
5402,531646;0,000546308;SP;-0,000622338;0,001714954
